Iteration,Fitness,Chromosomes
100,-31872.5593,[-174.84, 466.35, 421.54, 445.32, 448.47, 461.34, -306.5, -248.5, 268.91, -472.5, 382.81, 283.18, -476.94, 407.2, 432.37, 440.16, -303.55, -504.28, 397.77, -382.54, -445.51, 407.99, 421.24, -391.53, -457.9, 374.11, 499.45, 397.07, -377.14, -448.41, -377.21, -142.05, -505.44, -437.7, 352.87, 508.12, -275.58, 504.03, 462.41, -294.35, 511.72, 410.36, -337.11, 502.04, 394.28, -373.58, 508.2, 409.06, 167.45, 304.0]
110,-32287.492,[-174.84, 466.35, 421.54, 445.32, 471.71, -296.33, 497.52, -248.5, 268.91, -472.5, 382.81, 283.18, -476.94, 407.2, 432.37, 440.16, -285.11, -444.3, 397.77, -382.54, -445.51, 407.99, 421.24, -391.53, -457.9, 374.11, 499.45, 397.07, -377.14, -448.41, -377.21, -142.05, -505.44, -437.7, 352.87, 508.12, -275.58, 504.03, 462.41, -294.35, 511.72, 410.36, -337.11, 502.04, 394.28, -352.38, 508.2, 409.06, 167.45, 304.0]
120,-32790.9126,[433.13, 463.51, 421.54, 445.32, 448.47, 461.34, -306.5, -248.5, 268.91, -472.5, 382.81, 283.18, -476.94, 407.2, 432.37, 440.16, -285.11, -444.3, 397.77, -382.54, -445.51, 407.99, 421.24, -391.53, -457.9, 374.11, 499.45, 397.07, -377.14, -448.41, -377.21, -142.05, -505.44, -437.7, 352.87, 508.12, -275.58, 504.03, 462.41, -294.35, 511.72, 410.36, -337.11, 502.04, 394.28, -352.38, 508.2, 409.06, 167.45, 304.0]
130,-33573.7854,[433.13, 463.51, 421.54, 445.32, 448.47, 461.34, 473.4, -248.5, 268.91, -472.5, 382.81, 283.18, -476.94, 407.2, 432.37, 440.16, -285.11, -444.3, 397.77, -382.54, -452.29, 407.99, 421.24, -391.53, -457.9, 374.11, 499.45, 397.07, -377.14, -448.41, -377.21, -142.05, -505.44, -437.7, 352.87, 508.12, -275.58, 504.03, 462.41, -297.34, 511.72, 404.16, -364.95, 502.04, 394.28, -352.38, 508.2, 409.06, 167.45, 304.0]
140,-33626.2278,[433.13, 463.51, 421.54, 445.32, 448.47, 461.34, 473.4, -248.5, 268.91, -472.5, 382.81, 283.18, -476.94, 407.2, 428.71, 440.16, -285.11, -444.3, 397.77, -382.54, -452.29, 407.99, 421.24, -391.53, -457.9, 374.11, 499.45, 397.07, -377.14, -448.41, -377.21, -142.05, -505.44, -437.7, 352.87, 508.12, -275.58, 504.03, 462.41, -297.34, 511.72, 404.16, -354.17, 502.04, 394.28, -352.38, 508.2, 409.06, 167.45, 304.0]
150,-33738.3332,[455.14, 466.35, 421.54, 445.32, 448.47, 461.34, -306.5, -248.5, 268.91, -472.5, 382.81, 283.18, -476.94, 407.2, 428.71, 440.16, -285.11, -454.24, 386.08, -382.54, -452.29, 407.99, 421.24, -391.53, -457.9, 374.11, 500.59, 397.07, -377.14, -448.41, -377.21, -142.05, -505.44, -437.7, 374.39, 508.12, -275.58, 504.03, 462.41, -297.34, 511.72, 404.16, -364.24, 502.04, 394.28, -352.38, 508.2, 409.06, 167.45, 304.0]
160,-34166.2474,[455.14, 466.35, 421.54, 445.32, 448.47, 461.34, 473.4, -248.5, 268.91, -472.5, 382.81, 283.18, -476.94, 407.2, 428.71, 440.16, -285.11, -454.24, 397.77, -382.54, -452.29, 407.99, 421.24, -391.53, -457.9, 374.11, 500.59, 397.07, -377.14, -448.41, -377.21, -142.05, -505.44, -437.7, 374.39, 508.12, -275.58, 504.03, 462.41, -297.34, 511.72, 404.16, -354.17, 507.43, 394.28, -352.38, 508.2, 409.06, 167.45, 305.46]
170,-34195.5209,[455.14, 466.35, 421.54, 445.32, 448.47, 461.34, 473.4, -248.5, 268.91, -472.5, 382.81, 283.18, -476.94, 407.2, 428.71, 440.16, -285.11, -454.24, 386.08, -382.54, -452.29, 407.99, 421.24, -285.03, -457.9, 374.11, 500.59, 397.07, -377.14, -448.41, -377.21, -142.05, -505.44, -437.7, 374.39, 508.12, -275.58, 504.03, 462.41, -297.34, 511.72, 404.16, -354.17, 507.43, 394.28, -352.38, 508.2, 409.06, 167.45, 305.46]
180,-34215.6518,[455.14, 466.35, 421.54, 445.32, 448.47, 461.34, 473.4, -248.5, 268.91, -472.5, 382.81, 283.18, -476.94, 407.2, 428.71, 440.16, -285.11, -454.24, 386.08, -382.54, -452.29, 407.99, 421.24, -285.03, -457.9, 374.11, 500.59, 397.07, -377.14, -448.41, -377.21, -142.05, -505.44, -437.7, 365.6, 508.12, -275.58, 504.03, 462.41, -297.34, 511.72, 404.16, -354.17, 507.43, 394.28, -352.38, 508.2, 409.06, 167.45, 305.46]
190,-34318.9586,[455.14, 466.35, 421.54, 445.32, 448.47, 461.34, 473.4, -248.5, 268.91, -472.5, 387.36, 283.18, -476.94, 407.2, 428.71, 440.16, -285.11, -454.24, 386.08, -382.54, -452.29, 407.99, 421.24, -285.03, -457.9, 368.43, 500.59, 397.07, -377.14, -448.41, -377.21, -142.05, -505.44, -433.23, 365.6, 508.12, -275.58, 504.03, 462.41, -297.34, 511.72, 404.16, -354.17, 507.43, 394.28, -352.38, 508.2, 409.06, 167.45, 305.46]
200,-34489.3356,[455.14, 466.35, 421.54, 445.32, 448.47, 461.34, 473.4, -262.67, 268.91, -472.5, 387.36, 283.18, -476.94, 407.2, 428.71, 440.16, -285.11, -454.24, 386.08, -382.54, -452.29, 407.99, 421.24, -285.03, -457.9, 368.43, 500.59, 397.07, -377.14, -448.41, -377.21, -142.05, -505.44, -433.23, 365.6, 508.12, -275.58, 504.03, 462.41, -297.34, 511.72, 404.16, -354.17, 507.43, 394.28, -352.38, 508.2, 409.06, 167.45, 305.46]
210,-34652.2953,[455.14, 466.35, 421.54, 445.32, 448.47, 461.34, 473.4, -262.67, 268.91, -472.5, 387.36, 283.18, -485.22, 407.2, 428.71, 440.16, -286.3, -454.24, 386.08, -382.54, -452.29, 407.99, 430.78, -285.03, -457.9, 368.43, 500.59, 397.07, -377.14, -448.41, -377.21, -142.05, -505.44, -433.23, 365.6, 508.12, -275.58, 504.03, 462.41, -297.34, 511.72, 404.16, -359.39, 507.43, 394.28, -352.38, 508.2, 409.06, 167.45, 305.46]
220,-34656.3637,[455.14, 466.35, 421.54, 445.32, 448.47, 461.34, 473.4, -262.67, 268.91, -472.5, 387.36, 283.18, -485.22, 407.2, 428.71, 440.16, -286.3, -454.24, 386.08, -382.54, -452.29, 407.99, 430.78, -285.03, -457.9, 368.43, 500.59, 394.7, -377.14, -448.41, -377.21, -142.05, -505.44, -433.23, 365.6, 508.12, -275.58, 504.03, 462.41, -297.34, 511.72, 404.16, -359.39, 507.43, 394.28, -352.38, 508.2, 409.06, 167.45, 305.46]
